"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"1","DevBizInfoGuy","1249421005",2017-12-15 23:03:53,"941806046263341057","Unexpected... The human #facets of #dataviz! (All hail the #NYTNeedle) @NYTimes https://t.co/QIB7ODZhM4",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"nytimes.com/2017/12/14/rea…","https://www.nytimes.com/2017/12/14/reader-center/nyt-needle-election.html","nytimes","807095",NA,"facets dataviz NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","GPokharel","45729708",2017-12-15 20:51:31,"941772733242888193","81% of Evangelical Christians @CNN @nytimes #nytneedle supported pedophile @MooreSenate in Alabama. Do they have mo… https://t.co/HGdiangfbL",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/941772733242888193","CNN nytimes MooreSenate","759251 807095 856991644134068224",NA,"nytneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","mosessister","31550240",2017-12-15 15:52:43,"941697536158588928","I love the #NYTNeedle. 

NYT Needle Returns to the Spotlight. The Internet Notices. via @NYTimes https://t.co/QurHmz6wwb",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"nytimes.com/2017/12/14/rea…","https://www.nytimes.com/2017/12/14/reader-center/nyt-needle-election.html","nytimes","807095",NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ITGuy1959","4247374520",2017-12-15 15:35:32,"941693212015677440","I loathe the partisan radicalism of @nytpolitics but #NYTNeedle is the best predictor around. There were 2 hours he… https://t.co/1dTO65Gs5U",0,0,TRUE,"941691889929146369",FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/941693212015677440","nytpolitics","14434063",NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","TheBFRoom","824645127356485632",2017-12-15 15:31:20,"941692157072732160","NYT POLITICS: The #NYTNeedle returned to the national spotlight on Tuesday, and all of the internet noticed https://t.co/haFg2aKX4n",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","IFTTT",NA,NA,NA,NA,"nyti.ms/2Ao6lwa","http://nyti.ms/2Ao6lwa",NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","nytpolitics","14434063",2017-12-15 15:30:17,"941691889929146369","The #NYTNeedle returned to the national spotlight on Tuesday, and all of the internet noticed https://t.co/5VXjd4nQPa",7,17,FALSE,NA,FALSE,NA,NA,NA,NA,"en","SocialFlow",NA,NA,NA,NA,"nyti.ms/2Ao6lwa","http://nyti.ms/2Ao6lwa",NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MACarter73","16800335",2017-12-15 12:29:29,"941646392300331009","Amanda Cox would like you to know that the #nytneedle hasn’t changed since 2016, we have.  https://t.co/wCiGK5bZnC",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"nytimes.com/2017/12/14/rea…","https://www.nytimes.com/2017/12/14/reader-center/nyt-needle-election.html",NA,NA,NA,"nytneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NYTNational","1767741",2017-12-15 12:22:05,"941644529010204673","The #NYTNeedle returned to the national spotlight on Tuesday, and all of the internet noticed https://t.co/FV1jMalQp2",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","SocialFlow",NA,NA,NA,NA,"nyti.ms/2ClTGLv","http://nyti.ms/2ClTGLv",NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","sardwtt","1137399751",2017-12-15 11:31:05,"941631693471076352","NYT Needle Returns to the Spotlight. The Internet Notices. https://t.co/pnNsWDgLpH @Stephen_Dewitt #nytneedle",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"nyti.ms/2jTgbjC","https://nyti.ms/2jTgbjC","Stephen_Dewitt","45352925",NA,"nytneedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","NYTNational","1767741",2017-12-15 08:00:13,"941578629175238656","The #NYTNeedle returned to the national spotlight on Tuesday, and all of the internet noticed https://t.co/Demjx4YE2I",1,2,FALSE,NA,FALSE,NA,NA,NA,NA,"en","SocialFlow",NA,NA,NA,NA,"nyti.ms/2CoFHoj","http://nyti.ms/2CoFHoj",NA,NA,NA,"NYTNeedle",NA,NA,NA,NA,NA,NA,NA,NA,NA
